"jasparname","mgi_symbol"
"Alx1","Alx1"
"Alx3","Alx3"
"Alx4","Alx4"
"Ar","Ar"
"Arid3a_1","Arid3a"
"Arid3b","Arid3b"
"Arid5a","Arid5a"
"Arntl","Arntl"
"Arx","Arx"
"Ascl2_1","Ascl2"
"Atf1_1","Atf1"
"Atf3","Atf3"
"Atf4","Atf4"
"Atf7","Atf7"
"Atoh1","Atoh1"
"Barhl1","Barhl1"
"Barhl2","Barhl2"
"Barx1","Barx1"
"Batf3","Batf3"
"Bbx_1","Bbx"
"Bcl6","Bcl6"
"Bcl6b","Bcl6b"
"Bhlha15","Bhlha15"
"Bhlhb2_1","Bhlhb2"
"Bhlhe22","Bhlhe22"
"Bhlhe23","Bhlhe23"
"Bhlhe40","Bhlhe40"
"Bhlhe41","Bhlhe41"
"Bsx","Bsx"
"Cdx1","Cdx1"
"Cdx2","Cdx2"
"Cebpa","Cebpa"
"Cebpb","Cebpb"
"Cebpd","Cebpd"
"Cebpe","Cebpe"
"Cebpg","Cebpg"
"Cenpb","Cenpb"
"Clock","Clock"
"Creb1","Creb1"
"Creb3","Creb3"
"Creb3l1","Creb3l1"
"Creb3l2","Creb3l2"
"Creb5","Creb5"
"Crem","Crem"
"Crx","Crx"
"Ctcf","Ctcf"
"Cux1","Cux1"
"Cux2","Cux2"
"Dbp","Dbp"
"Dlx1","Dlx1"
"Dlx2","Dlx2"
"Dlx3","Dlx3"
"Dlx4","Dlx4"
"Dlx6","Dlx6"
"Dmbx1","Dmbx1"
"Dmrt3","Dmrt3"
"Dux","Dux"
"Dux4","Dux4"
"Duxa","Duxa"
"E2f1","E2f1"
"E2f2","E2f2"
"E2f3","E2f3"
"E2f4","E2f4"
"E2f6","E2f6"
"E2f7","E2f7"
"E2f8","E2f8"
"Ebf1","Ebf1"
"Egr1_1","Egr1"
"Egr2","Egr2"
"Egr3","Egr3"
"Egr4","Egr4"
"Ehf_1","Ehf"
"Elf1","Elf1"
"Elf3","Elf3"
"Elf4","Elf4"
"Elf5","Elf5"
"Elk1","Elk1"
"Elk3","Elk3"
"Elk4","Elk4"
"Emx1","Emx1"
"Emx2","Emx2"
"En1","En1"
"En2","En2"
"Eomes_1","Eomes"
"Erf","Erf"
"Erg","Erg"
"Esr1","Esr1"
"Esr2","Esr2"
"Esrra_2","Esrra"
"Esrrb","Esrrb"
"Esrrg","Esrrg"
"Esx1","Esx1"
"Ets1","Ets1"
"Etv1","Etv1"
"Etv2","Etv2"
"Etv3","Etv3"
"Etv4","Etv4"
"Etv5","Etv5"
"Etv6","Etv6"
"Evx1","Evx1"
"Evx2","Evx2"
"Fev","Fev"
"Fezf1","Fezf1"
"Figla","Figla"
"Fli1","Fli1"
"Fos","Fos"
"Fosl1","Fosl1"
"Fosl2","Fosl2"
"Foxa1","Foxa1"
"Foxa2_1","Foxa2"
"Foxb1","Foxb1"
"Foxc1","Foxc1"
"Foxc2","Foxc2"
"Foxd1","Foxd1"
"Foxd2","Foxd2"
"Foxd3","Foxd3"
"Foxf2","Foxf2"
"Foxg1","Foxg1"
"Foxh1","Foxh1"
"Foxi1","Foxi1"
"Foxj1_1","Foxj1"
"Foxj2","Foxj2"
"Foxj3_1","Foxj3"
"Foxk1","Foxk1"
"Foxl1_1","Foxl1"
"Foxo1","Foxo1"
"Foxo3","Foxo3"
"Foxo4","Foxo4"
"Foxo6","Foxo6"
"Foxp1","Foxp1"
"Foxp2","Foxp2"
"Foxp3","Foxp3"
"Foxq1","Foxq1"
"Gabpa_1","Gabpa"
"Gata1","Gata1"
"Gata2","Gata2"
"Gata3_1","Gata3"
"Gata4","Gata4"
"Gata5_1","Gata5"
"Gata6_1","Gata6"
"Gbx1","Gbx1"
"Gbx2","Gbx2"
"Gcm1_1","Gcm1"
"Gcm2","Gcm2"
"Gfi1","Gfi1"
"Gfi1b","Gfi1b"
"Gli2","Gli2"
"Gli4","Gli4"
"Glis1","Glis1"
"Glis2_1","Glis2"
"Glis3","Glis3"
"Gm397_1","Gm397"
"Gmeb1_1","Gmeb1"
"Gmeb2","Gmeb2"
"Grhl1","Grhl1"
"Gsc","Gsc"
"Gsc2","Gsc2"
"Gsx1","Gsx1"
"Gsx2","Gsx2"
"Gtf3a","Gtf3a"
"Hbp1_1","Hbp1"
"Hes1","Hes1"
"Hes2","Hes2"
"Hes5","Hes5"
"Hes7","Hes7"
"Hesx1","Hesx1"
"Hey1","Hey1"
"Hey2","Hey2"
"Hic1_1","Hic1"
"Hic2","Hic2"
"Hinfp","Hinfp"
"Hlf","Hlf"
"Hltf","Hltf"
"Hmbox1","Hmbox1"
"Hmx1","Hmx1"
"Hmx2","Hmx2"
"Hmx3","Hmx3"
"Hnf1a","Hnf1a"
"Hnf1b","Hnf1b"
"Hnf4a","Hnf4a"
"Hnf4g","Hnf4g"
"Hoxa10","Hoxa10"
"Hoxa11","Hoxa11"
"Hoxa13","Hoxa13"
"Hoxa2","Hoxa2"
"Hoxa3_1","Hoxa3"
"Hoxa5","Hoxa5"
"Hoxa9","Hoxa9"
"Hoxb13","Hoxb13"
"Hoxb2","Hoxb2"
"Hoxb3","Hoxb3"
"Hoxb5","Hoxb5"
"Hoxc10","Hoxc10"
"Hoxc11","Hoxc11"
"Hoxc12","Hoxc12"
"Hoxc13","Hoxc13"
"Hoxc9","Hoxc9"
"Hoxd11","Hoxd11"
"Hoxd12","Hoxd12"
"Hoxd13","Hoxd13"
"Hoxd3","Hoxd3"
"Hoxd8","Hoxd8"
"Hoxd9","Hoxd9"
"Hsf1","Hsf1"
"Hsf2","Hsf2"
"Hsf4","Hsf4"
"Id2","Id2"
"Id4","Id4"
"Ikzf3","Ikzf3"
"Insm1","Insm1"
"Irc900814_1","Irc900814"
"Irf1","Irf1"
"Irf2","Irf2"
"Irf3_1","Irf3"
"Irf4_1","Irf4"
"Irf5_1","Irf5"
"Irf6_1","Irf6"
"Irf7","Irf7"
"Irf8","Irf8"
"Irf9","Irf9"
"Isgf3g_1","Isgf3g"
"Isl2","Isl2"
"Isx","Isx"
"Jdp2(var.2)","Jdp2"
"Jun(var.2)","Jun"
"Junb","Junb"
"Jund(var.2)","Jund"
"Jundm2_2","Jundm2"
"Klf1","Klf1"
"Klf10","Klf10"
"Klf12","Klf12"
"Klf13","Klf13"
"Klf14","Klf14"
"Klf15","Klf15"
"Klf16","Klf16"
"Klf4","Klf4"
"Klf5","Klf5"
"Klf7","Klf7"
"Klf7_2","Klf7"
"Lbx1","Lbx1"
"Lbx2","Lbx2"
"Lef1_1","Lef1"
"Lhx2","Lhx2"
"Lhx3","Lhx3"
"Lhx4","Lhx4"
"Lhx6","Lhx6"
"Lhx8","Lhx8"
"Lhx9","Lhx9"
"Lin54","Lin54"
"Lmx1a","Lmx1a"
"Lmx1b","Lmx1b"
"Mafb_1","Mafb"
"Maff","Maff"
"Mafg","Mafg"
"Mafk","Mafk"
"Max_1","Max"
"Maz","Maz"
"Mecom","Mecom"
"Mef2a","Mef2a"
"Mef2b","Mef2b"
"Mef2c","Mef2c"
"Mef2d","Mef2d"
"Meis1","Meis1"
"Meis2","Meis2"
"Meis3","Meis3"
"Meox1","Meox1"
"Meox2","Meox2"
"Mga","Mga"
"Mitf","Mitf"
"mix-a","mix-a"
"Mixl1","Mixl1"
"Mlx","Mlx"
"Mlxip","Mlxip"
"Mlxipl","Mlxipl"
"Mnt","Mnt"
"Mnx1","Mnx1"
"Msc","Msc"
"Msx1","Msx1"
"Msx2","Msx2"
"Msx3","Msx3"
"Mtf1_1","Mtf1"
"Myb_2","Myb"
"Mybl1_1","Mybl1"
"Mybl2","Mybl2"
"Myc","Myc"
"Mycn","Mycn"
"Myf6_1","Myf6"
"Mynn","Mynn"
"Myod1","Myod1"
"Myog","Myog"
"Mzf1","Mzf1"
"Mzf1(var.2)","Mzf1"
"Neurod2","Neurod2"
"Neurog1","Neurog1"
"Neurog2","Neurog2"
"Nfat5","Nfat5"
"Nfatc1","Nfatc1"
"Nfatc2","Nfatc2"
"Nfatc3","Nfatc3"
"Nfe2","Nfe2"
"Nfe2l2","Nfe2l2"
"Nfia","Nfia"
"Nfil3","Nfil3"
"Nfix","Nfix"
"Nfkb1","Nfkb1"
"Nfkb2","Nfkb2"
"Nfya","Nfya"
"Nfyb","Nfyb"
"Nhlh1","Nhlh1"
"Nkx2-3","Nkx2-3"
"Nkx2-5(var.2)","Nkx2-5"
"Nkx2-8","Nkx2-8"
"Nkx3-1_1","Nkx3-1"
"Nkx3-2","Nkx3-2"
"Nkx6-1","Nkx6-1"
"Nkx6-2","Nkx6-2"
"Nobox","Nobox"
"Noto","Noto"
"Npas2","Npas2"
"Nr2c2","Nr2c2"
"Nr2e1","Nr2e1"
"Nr2e3","Nr2e3"
"Nr2f1","Nr2f1"
"Nr2f2_2","Nr2f2"
"Nr2f6(var.2)","Nr2f6"
"Nr3c1","Nr3c1"
"Nr3c2","Nr3c2"
"Nr4a2","Nr4a2"
"Nr5a2","Nr5a2"
"Nrf1","Nrf1"
"Nrl","Nrl"
"Olig1","Olig1"
"Olig2","Olig2"
"Olig3","Olig3"
"Onecut1","Onecut1"
"Onecut2","Onecut2"
"Onecut3","Onecut3"
"Osr1_1","Osr1"
"Osr2","Osr2"
"Osr2_1","Osr2"
"Otx1","Otx1"
"Otx2","Otx2"
"Patz1","Patz1"
"Pax1","Pax1"
"Pax2","Pax2"
"Pax3","Pax3"
"Pax4","Pax4"
"Pax5","Pax5"
"Pax6","Pax6"
"Pax7","Pax7"
"Pax9","Pax9"
"Pbx1","Pbx1"
"Pdx1","Pdx1"
"Phox2a","Phox2a"
"Phox2b","Phox2b"
"Pitx1","Pitx1"
"Pitx3","Pitx3"
"Pknox1","Pknox1"
"Pknox2","Pknox2"
"Plag1","Plag1"
"Plagl1_2","Plagl1"
"Pou1f1","Pou1f1"
"Pou2f1","Pou2f1"
"Pou2f2","Pou2f2"
"Pou2f3","Pou2f3"
"Pou3f1","Pou3f1"
"Pou3f2","Pou3f2"
"Pou3f3","Pou3f3"
"Pou3f4","Pou3f4"
"Pou4f1","Pou4f1"
"Pou4f2","Pou4f2"
"Pou4f3","Pou4f3"
"Pou5f1b","Pou5f1b"
"Pou6f1","Pou6f1"
"Pou6f2","Pou6f2"
"Pparg","Pparg"
"Prdm1","Prdm1"
"Prdm6","Prdm6"
"Prop1","Prop1"
"Prox1","Prox1"
"Prrx1","Prrx1"
"Prrx2","Prrx2"
"Rara","Rara"
"Rarb(var.2)","Rarb"
"Rarg(var.2)","Rarg"
"Rax","Rax"
"Rax2","Rax2"
"Rel","Rel"
"Rela","Rela"
"Rest","Rest"
"Rfx1","Rfx1"
"Rfx2","Rfx2"
"Rfx3_1","Rfx3"
"Rfx4_1","Rfx4"
"Rfx5","Rfx5"
"Rfxdc2_1","Rfxdc2"
"Rhox11","Rhox11"
"Rhoxf1","Rhoxf1"
"Rora(var.2)","Rora"
"Rreb1","Rreb1"
"Runx1","Runx1"
"Runx2","Runx2"
"Runx3","Runx3"
"Rxra_1","Rxra"
"Rxrb","Rxrb"
"Rxrg","Rxrg"
"Scrt1","Scrt1"
"Scrt2","Scrt2"
"Sfpi1_1","Sfpi1"
"Shox","Shox"
"Shox2","Shox2"
"Six3","Six3"
"Six6_1","Six6"
"Smad3_1","Smad3"
"Snai1","Snai1"
"Snai2","Snai2"
"Sox1","Sox1"
"Sox11","Sox11"
"Sox12_1","Sox12"
"Sox13_1","Sox13"
"Sox14_2","Sox14"
"Sox15_1","Sox15"
"Sox17_1","Sox17"
"Sox18_1","Sox18"
"Sox2","Sox2"
"Sox21","Sox21"
"Sox3","Sox3"
"Sox30_1","Sox30"
"Sox4","Sox4"
"Sox5_1","Sox5"
"Sox6","Sox6"
"Sox7_1","Sox7"
"Sox8","Sox8"
"Sox9","Sox9"
"Sp1","Sp1"
"Sp100_2","Sp100"
"Sp2","Sp2"
"Sp3","Sp3"
"Sp4","Sp4"
"Sp8","Sp8"
"Spdef_1","Spdef"
"Spi1","Spi1"
"Spib","Spib"
"Spic","Spic"
"Spz1","Spz1"
"Srebf1","Srebf1"
"Srebf2","Srebf2"
"Srf","Srf"
"Sry_1","Sry"
"Stat1","Stat1"
"Stat3","Stat3"
"Stat4","Stat4"
"Stat6","Stat6"
"T","T"
"Tbp","Tbp"
"Tbr1","Tbr1"
"Tbx1","Tbx1"
"Tbx15","Tbx15"
"Tbx19","Tbx19"
"Tbx2","Tbx2"
"Tbx20","Tbx20"
"Tbx21","Tbx21"
"Tbx4","Tbx4"
"Tbx5","Tbx5"
"Tcf1_1","Tcf1"
"Tcf12","Tcf12"
"Tcf21","Tcf21"
"Tcf3_1","Tcf3"
"Tcf4","Tcf4"
"Tcf7_1","Tcf7"
"Tcf7l2_1","Tcf7l2"
"Tcfap2a_1","Tcfap2a"
"Tcfap2b_1","Tcfap2b"
"Tcfap2c_1","Tcfap2c"
"Tcfap2e_1","Tcfap2e"
"Tcfe2a_1","Tcfe2a"
"Tcfl5","Tcfl5"
"Tead1","Tead1"
"Tead3","Tead3"
"Tead4","Tead4"
"Tef","Tef"
"Tfap2a(var.3)","Tfap2a"
"Tfap2b(var.3)","Tfap2b"
"Tfap2c(var.3)","Tfap2c"
"Tfap4","Tfap4"
"Tfcp2","Tfcp2"
"Tfe3","Tfe3"
"Tfeb","Tfeb"
"Tfec","Tfec"
"Tgif1","Tgif1"
"Tgif2","Tgif2"
"Thap1","Thap1"
"Tp53","Tp53"
"Tp63","Tp63"
"Tp73","Tp73"
"Twist2","Twist2"
"Uncx","Uncx"
"Usf1","Usf1"
"Usf2","Usf2"
"Vax1","Vax1"
"Vax2","Vax2"
"Vdr","Vdr"
"Ventx","Ventx"
"Vsx1","Vsx1"
"Vsx2","Vsx2"
"Xbp1","Xbp1"
"Yy1","Yy1"
"Yy2","Yy2"
"Zbed1","Zbed1"
"Zbtb12","Zbtb12"
"Zbtb12_1","Zbtb12"
"Zbtb14","Zbtb14"
"Zbtb18","Zbtb18"
"Zbtb26","Zbtb26"
"Zbtb3_1","Zbtb3"
"Zbtb33","Zbtb33"
"Zbtb42","Zbtb42"
"Zbtb48","Zbtb48"
"Zbtb6","Zbtb6"
"Zbtb7a","Zbtb7a"
"Zbtb7b_2","Zbtb7b"
"Zbtb7c","Zbtb7c"
"Zeb1","Zeb1"
"Zfp105_1","Zfp105"
"Zfp128_1","Zfp128"
"Zfp161_1","Zfp161"
"Zfp187_1","Zfp187"
"Zfp28","Zfp28"
"Zfp281_2","Zfp281"
"Zfp3","Zfp3"
"Zfp410_1","Zfp410"
"Zfp42","Zfp42"
"Zfp64","Zfp64"
"Zfp691_1","Zfp691"
"Zfp740_1","Zfp740"
"Zfp82","Zfp82"
"Zfx","Zfx"
"Zic1","Zic1"
"Zic2_2","Zic2"
"Zic3","Zic3"
"Zic4","Zic4"
"Zim3","Zim3"
"Znf121","Znf121"
"Znf134","Znf134"
"Znf136","Znf136"
"Znf140","Znf140"
"Znf143","Znf143"
"Znf146","Znf146"
"Znf16","Znf16"
"Znf175","Znf175"
"Znf18","Znf18"
"Znf184","Znf184"
"Znf189","Znf189"
"Znf200","Znf200"
"Znf213","Znf213"
"Znf214","Znf214"
"Znf22","Znf22"
"Znf224","Znf224"
"Znf250","Znf250"
"Znf257","Znf257"
"Znf260","Znf260"
"Znf263","Znf263"
"Znf264","Znf264"
"Znf273","Znf273"
"Znf280a","Znf280a"
"Znf281","Znf281"
"Znf30","Znf30"
"Znf317","Znf317"
"Znf320","Znf320"
"Znf322","Znf322"
"Znf324","Znf324"
"Znf329","Znf329"
"Znf331","Znf331"
"Znf33a","Znf33a"
"Znf34","Znf34"
"Znf341","Znf341"
"Znf35","Znf35"
"Znf350","Znf350"
"Znf354a","Znf354a"
"Znf37a","Znf37a"
"Znf382","Znf382"
"Znf384","Znf384"
"Znf394","Znf394"
"Znf41","Znf41"
"Znf410","Znf410"
"Znf415","Znf415"
"Znf418","Znf418"
"Znf419","Znf419"
"Znf423","Znf423"
"Znf436","Znf436"
"Znf449","Znf449"
"Znf45","Znf45"
"Znf454","Znf454"
"Znf467","Znf467"
"Znf490","Znf490"
"Znf502","Znf502"
"Znf513","Znf513"
"Znf524","Znf524"
"Znf528","Znf528"
"Znf543","Znf543"
"Znf547","Znf547"
"Znf549","Znf549"
"Znf554","Znf554"
"Znf563","Znf563"
"Znf574","Znf574"
"Znf582","Znf582"
"Znf586","Znf586"
"Znf594","Znf594"
"Znf595","Znf595"
"Znf596","Znf596"
"Znf610","Znf610"
"Znf667","Znf667"
"Znf669","Znf669"
"Znf675","Znf675"
"Znf677","Znf677"
"Znf680","Znf680"
"Znf684","Znf684"
"Znf692","Znf692"
"Znf708","Znf708"
"Znf71","Znf71"
"Znf740","Znf740"
"Znf76","Znf76"
"Znf768","Znf768"
"Znf770","Znf770"
"Znf774","Znf774"
"Znf778","Znf778"
"Znf784","Znf784"
"Znf8","Znf8"
"Znf816","Znf816"
"Znf85","Znf85"
"Znf98","Znf98"
"Zscan16","Zscan16"
"Zscan22","Zscan22"
"Zscan29","Zscan29"
"Zscan30","Zscan30"
"Zscan31","Zscan31"
"Zscan4_1","Zscan4"
"Zscan5c","Zscan5c"
"Arnt::hif1a","Arnt"
"Arnt::hif1a","Hif1a"
"Bach1::mafk","Bach1"
"Bach1::mafk","Mafk"
"Batf::jun","Batf"
"Batf::jun","Jun"
"Ddit3::cebpa","Ddit3"
"Ddit3::cebpa","Cebpa"
"Ewsr1-fli1","Ewsr1"
"Ewsr1-fli1","Fli1"
"Fos::jun","Fos"
"Fos::jun","Jun"
"Gata1::tal1","Gata1"
"Gata1::tal1","Tal1"
"Hand1::tcf3","Hand1"
"Hand1::tcf3","Tcf3"
"Maf::nfe2","Maf"
"Maf::nfe2","Nfe2"
"Max::myc","Max"
"Max::myc","Myc"
"Nfic::tlx1","Nfic"
"Nfic::tlx1","Tlx1"
"Nr1h2::rxra","Nr1h2"
"Nr1h2::rxra","Rxra"
"Nr1h3::rxra","Nr1h3"
"Nr1h3::rxra","Rxra"
"Pou5f1::sox2","Pou5f1"
"Pou5f1::sox2","Sox2"
"Pparg::rxra","Pparg"
"Pparg::rxra","Rxra"
"Rara::rxra","Rara"
"Rara::rxra","Rxra"
"Rxra::vdr","Rxra"
"Rxra::vdr","Vdr"
"Smad2::smad3::smad4","Smad2"
"Smad2::smad3::smad4","Smad3"
"Smad2::smad3::smad4","Smad4"
"Stat1::stat2","Stat1"
"Stat1::stat2","Stat2"
"Stat5a::stat5b","Stat5a"
"Stat5a::stat5b","Stat5b"
"Tal1::tcf3","Tal1"
"Tal1::tcf3","Tcf3"
